id,generation_id,rating,thumbs_up,category,comment,timestamp,date_created
1765612637711,test_123,4,True,perfect,Test feedback,1765612637711,2025-12-13 13:27:17
1765788885851,1765788851108,1,False,poor_quality,,1765788885851,2025-12-15 14:24:45
